HOSTNAME,HOSTSTATE,MACHINETYPE,IPADDR,NETMASK,GATEWAY,CUSTOMER,CONTRACT,SOURCE,VLAN,DESCRIPTION
"10.186.1.217","Disposed","Hardware Machine","10.186.1.217","","","Atlas Copco","Atlas DCCOP APAC","Manual entry","",""
"10.86.16.44","Disposed","Hardware Machine","10.86.16.44","","","Atlas Copco","Atlas DCCOP APAC","Manual entry","",""
"ACASCAAS0007","Disposed","Vmachine with HW Failover","10.213.143.219","","","Atlas Copco","Atlas Servers with limited services NASA","Manual entry","",""
"ACASCAAS0008","Up","Vmachine with HW Failover","10.7.168.23","","","Atlas Copco","Atlas DCCOP NASA","Manual entry","","ACASCAAS0008"
"ACASCAAS0008","Up","Vmachine with HW Failover","10.7.168.23","","","Atlas Copco","Atlas DCCOP NASA","VMWare","443_ATC_SDC_SERVERS_FED",""
"ACASCAAS0008","Up","Vmachine with HW Failover","10.7.168.23","","","Atlas Copco","Atlas DCCOP NASA","SCOM","",""
"ACASCAAS008","Disposed","Vmachine with HW Failover","10.213.143.223","","","Atlas Copco","Atlas Servers with limited services NASA","Manual entry","",""
"ACASCADC002","Disposed","Vmachine with HW Failover","10.213.143.6","","","Atlas Copco","Atlas DCCOP NASA","Manual entry","","PRODUCTION"
"ACASCAEDM001","Disposed","Vmachine with HW Failover","10.10.80.200","","","Atlas Copco","Atlas Servers with limited services NASA","Manual entry","",""
"ACASCAFS003","Disposed","Vmachine with HW Failover","10.213.143.224","","","Atlas Copco","Atlas Servers with limited services NASA","Manual entry","",""
"ACASCAPR0001","Disposed","Vmachine with HW Failover","10.213.143.204","","","Atlas Copco","Atlas Servers with limited services NASA","Manual entry","",""
"ACASUSESX0002","Up","Hardware Machine","10.213.143.7","","","Atlas Copco","Atlas DCCOP NASA","Manual entry","",""
"ACASUSESX0003","Up","Hardware Machine","10.213.143.217","","","Atlas Copco","Atlas DCCOP NASA","Manual entry","",""
"ACCEIS","Disposed","Vmachine with HW Failover","10.213.0.27","255.255.248.0","10.213.0.250","Atlas Copco","Atlas NAM","Manual entry","","LAN"
"ACCFS","Up","Vmachine with HW Failover","10.213.0.30","","","Atlas Copco","Atlas DCCOP NASA","Manual entry","",""
"ACCFS","Up","Vmachine with HW Failover","10.213.0.20","","","Atlas Copco","Atlas DCCOP NASA","VMWare","SERVER VLAN 213",""
"ACCFS","Up","Vmachine with HW Failover","10.213.0.20","","","Atlas Copco","Atlas DCCOP NASA","SCOM","",""
"ACCFS-OLD","Down","Vmachine with HW Failover","10.213.0.28","","","Atlas Copco","Atlas NAM","Manual entry","","Production"
"ACCFXTS","Disposed","Vmachine with HW Failover","10.201.240.12","","","Atlas Copco","Atlas NAM","Manual entry","","Production"
"ACCFXTS","Disposed","Vmachine with HW Failover","10.7.168.12","","","Atlas Copco","Atlas NAM","Manual entry","","Production"
"ACCFXTS","Disposed","Vmachine with HW Failover","10.200.11.12","","","Atlas Copco","Atlas NAM","Manual entry","","Production"
"ACCSBEAP4000","Up","Vmachine with HW Failover","10.26.8.105","","","Atlas Copco","Atlas Sweden","Manual entry","",""
"ACCSBEAP4000","Up","Vmachine with HW Failover","10.26.8.105","","","Atlas Copco","Atlas Sweden","VMWare","dmz3-prod-vlan-575",""
"ACCSBEAP4000","Up","Vmachine with HW Failover","10.26.8.105","","","Atlas Copco","Atlas Sweden","SCOM","",""
"ACCSBEAP4001","Up","Vmachine with HW Failover","10.26.8.106","","","Atlas Copco","Atlas Sweden","Manual entry","",""
"ACCSBEAP4001","Up","Vmachine with HW Failover","10.26.8.106","","","Atlas Copco","Atlas Sweden","VMWare","dmz3-prod-vlan-575",""
"ACCSBEAP4001","Up","Vmachine with HW Failover","10.26.8.106","","","Atlas Copco","Atlas Sweden","SCOM","",""
"ACCSBEAP4002","Up","Vmachine with HW Failover","10.26.8.107","","","Atlas Copco","Atlas Sweden","Manual entry","",""
"ACCSBEAP4002","Up","Vmachine with HW Failover","10.26.8.107","","","Atlas Copco","Atlas Sweden","VMWare","dmz3-prod-vlan-575",""
"ACCSBEAP4002","Up","Vmachine with HW Failover","10.26.8.107","","","Atlas Copco","Atlas Sweden","SCOM","",""
